complaints_id,month,,region_name,circle_name,division_name,Estimated_Time_of_Restoration,season
11652595,5,,Jabalpur,Katni,Katni (CITY),25,Summer
11525961,6,,Rewa,Jabalpur (City),Jabalpur North (CITY),25,Summer
11655367,4,,Sagar,Satna,SATNA (CITY),25,Summer
11754029,9,,,Rewa,Rewa (CITY),25,Summer
11776898,8,,,Sagar,Jabalpur East (CITY),25,Summer
12025427,7,,,Singrauli,Vijaynagar (CITY),25,Summer
11458138,10,,,Chhindwara,Sagar (CITY),25,Summer
11458124,,,,,Jabalpur West (CITY),25,Summer
11852945,,,,,Jabalpur South (CITY),25,Summer
11479153,,,,,Waidhan (CITY),25,Summer
12093978,,,,,Chhindwara (CITY),25,Summer
11843687,,,,,,25,Summer
12089953,,,,,,25,Summer
11540757,,,,,,25,Summer
11460321,,,,,,25,Summer
11301939,,,,,,25,Summer
11698793,,,,,,25,Summer
11745290,,,,,,25,Summer
12102128,,,,,,25,Summer
11623838,,,,,,25,Summer
11752191,,,,,,25,Summer
11795899,,,,,,25,Summer
11482948,,,,,,25,Summer
11327288,,,,,,25,Summer
11325599,,,,,,25,Summer
11454178,,,,,,25,Summer
11508147,,,,,,25,Summer
11710604,,,,,,25,Summer
11913325,,,,,,25,Summer
11737469,,,,,,25,Summer
11602533,,,,,,25,Summer
11606221,,,,,,25,Summer
11501879,,,,,,25,Summer
11423283,,,,,,25,Summer
11640443,,,,,,25,Summer
12007770,,,,,,25,Summer
11704087,,,,,,25,Summer
12006736,,,,,,25,Summer
11559429,,,,,,25,Summer
11551201,,,,,,25,Summer
11450382,,,,,,25,Summer
11439880,,,,,,25,Summer
12024579,,,,,,25,Summer
11715910,,,,,,25,Summer
11289611,,,,,,25,Summer
11858392,,,,,,25,Summer
11641371,,,,,,25,Summer
11655872,,,,,,25,Summer
11991184,,,,,,25,Summer
11991245,,,,,,25,Summer
12146963,,,,,,25,Summer
11531488,,,,,,25,Summer
11311318,,,,,,25,Summer
11472847,,,,,,25,Summer
11428892,,,,,,25,Summer
11567190,,,,,,25,Summer
12028519,,,,,,25,Summer
11489157,,,,,,25,Summer
11498448,,,,,,25,Summer
11478003,,,,,,25,Summer
12089347,,,,,,25,Summer
11570545,,,,,,25,Summer
11319588,,,,,,25,Summer
11955020,,,,,,25,Summer
11754303,,,,,,25,Summer
11386880,,,,,,25,Summer
11367553,,,,,,25,Summer
11817242,,,,,,25,Summer
11562633,,,,,,25,Summer
11857771,,,,,,25,Summer
11637814,,,,,,25,Summer
11963702,,,,,,25,Summer
11675528,,,,,,25,Summer
12122206,,,,,,25,Summer
11552248,,,,,,25,Summer
11364966,,,,,,25,Summer
11567270,,,,,,25,Summer
11539397,,,,,,25,Summer
11612432,,,,,,25,Summer
12034601,,,,,,25,Summer
11750241,,,,,,25,Summer
11856811,,,,,,25,Summer
11338316,,,,,,25,Summer
11305643,,,,,,25,Summer
11965908,,,,,,25,Summer
11623248,,,,,,25,Summer
11733223,,,,,,25,Summer
11965836,,,,,,25,Summer
11604234,,,,,,25,Summer
11685405,,,,,,25,Summer
11622856,,,,,,25,Summer
11338377,,,,,,25,Summer
11552500,,,,,,25,Summer
11538934,,,,,,25,Summer
11395726,,,,,,25,Summer
11942758,,,,,,25,Summer
11604126,,,,,,25,Summer
11995433,,,,,,25,Summer
11686044,,,,,,25,Summer
12150374,,,,,,25,Summer
12091964,,,,,,25,Summer
11953206,,,,,,25,Summer
11706785,,,,,,25,Summer
11405652,,,,,,25,Summer
11632514,,,,,,25,Summer
11718189,,,,,,25,Summer
11763389,,,,,,25,Summer
11631488,,,,,,25,Summer
11566502,,,,,,25,Summer
12033483,,,,,,25,Summer
12077828,,,,,,25,Summer
12148159,,,,,,25,Summer
11880771,,,,,,25,Summer
12066817,,,,,,25,Summer
11603633,,,,,,25,Summer
11874723,,,,,,25,Summer
12122648,,,,,,25,Summer
11502141,,,,,,25,Summer
11839727,,,,,,25,Summer
12122655,,,,,,25,Summer
11531130,,,,,,25,Summer
11738845,,,,,,25,Summer
11631792,,,,,,25,Summer
11586321,,,,,,25,Summer
11348532,,,,,,25,Summer
11612629,,,,,,25,Summer
11781574,,,,,,25,Summer
11775451,,,,,,25,Summer
11566483,,,,,,25,Summer
11844667,,,,,,25,Summer
11612991,,,,,,25,Summer
11492670,,,,,,25,Summer
12035869,,,,,,25,Summer
11732545,,,,,,25,Summer
12103712,,,,,,25,Summer
11803703,,,,,,25,Summer
11617330,,,,,,25,Summer
11508047,,,,,,25,Summer
11298295,,,,,,25,Summer
11955372,,,,,,25,Summer
11640807,,,,,,25,Summer
12018688,,,,,,25,Summer
11496964,,,,,,25,Summer
11930843,,,,,,25,Summer
11624646,,,,,,25,Summer
12072245,,,,,,25,Summer
11690310,,,,,,25,Summer
12076220,,,,,,25,Summer
11300258,,,,,,25,Summer
11970162,,,,,,25,Summer
11569484,,,,,,25,Summer
11627886,,,,,,25,Summer
11645910,,,,,,25,Summer
11692338,,,,,,25,Summer
11528022,,,,,,25,Summer
11358095,,,,,,25,Summer
11645948,,,,,,25,Summer
11766138,,,,,,25,Summer
11895956,,,,,,25,Summer
11998236,,,,,,25,Summer
11941854,,,,,,25,Summer
11727617,,,,,,25,Summer
11821618,,,,,,25,Summer
11976921,,,,,,25,Summer
11886334,,,,,,25,Summer
11937881,,,,,,25,Summer
12123357,,,,,,25,Summer
12144069,,,,,,25,Summer
11933980,,,,,,25,Summer
11757108,,,,,,25,Summer
11373425,,,,,,25,Summer
12120182,,,,,,25,Summer
11839217,,,,,,25,Summer
11485427,,,,,,25,Summer
11784481,,,,,,25,Summer
11792998,,,,,,25,Summer
11861143,,,,,,25,Summer
11408772,,,,,,25,Summer
12065318,,,,,,25,Summer
11568602,,,,,,25,Summer
11928360,,,,,,25,Summer
11546242,,,,,,25,Summer
11527696,,,,,,25,Summer
11851551,,,,,,25,Summer
11455905,,,,,,25,Summer
11356057,,,,,,25,Summer
11625234,,,,,,25,Summer
12021884,,,,,,25,Summer
11932557,,,,,,25,Summer
11626903,,,,,,25,Summer
11982191,,,,,,25,Summer
11666794,,,,,,25,Summer
11866707,,,,,,25,Summer
11600634,,,,,,25,Summer
11440900,,,,,,25,Summer
11729780,,,,,,25,Summer
12118598,,,,,,25,Summer
12115627,,,,,,25,Summer
11362396,,,,,,25,Summer
11743239,,,,,,25,Summer
11551156,,,,,,25,Summer
11692730,,,,,,25,Summer
11647013,,,,,,25,Summer
12130406,,,,,,25,Summer
11413762,,,,,,25,Summer
11594190,,,,,,25,Summer
11308889,,,,,,25,Summer
11848913,,,,,,25,Summer
11592733,,,,,,25,Summer
11415745,,,,,,25,Summer
11344500,,,,,,25,Summer
11800865,,,,,,25,Summer
11415732,,,,,,25,Summer
12087962,,,,,,25,Summer
11525149,,,,,,25,Summer
11788153,,,,,,25,Summer
11453900,,,,,,25,Summer
12115010,,,,,,26,Summer
11484717,,,,,,26,Summer
11503062,,,,,,26,Summer
11829049,,,,,,26,Summer
11841737,,,,,,26,Summer
12121630,,,,,,26,Summer
12044977,,,,,,26,Summer
12034485,,,,,,26,Summer
11705870,,,,,,26,Summer
12034486,,,,,,26,Summer
11625551,,,,,,26,Summer
11623553,,,,,,26,Summer
12000937,,,,,,26,Summer
11754919,,,,,,26,Summer
11769997,,,,,,26,Summer
11332776,,,,,,26,Summer
11869307,,,,,,26,Summer
11322526,,,,,,26,Summer
12009954,,,,,,26,Summer
11896765,,,,,,26,Summer
11477282,,,,,,26,Summer
12155248,,,,,,26,Summer
11999260,,,,,,26,Summer
11840208,,,,,,26,Summer
11791482,,,,,,26,Summer
11447209,,,,,,26,Summer
12118974,,,,,,26,Summer
11413759,,,,,,26,Summer
11599349,,,,,,26,Summer
11565317,,,,,,26,Summer
11476847,,,,,,26,Summer
11951145,,,,,,26,Summer
12158202,,,,,,26,Summer
11780700,,,,,,26,Summer
11484902,,,,,,26,Summer
11320229,,,,,,26,Summer
12046315,,,,,,26,Summer
11860245,,,,,,26,Summer
11524734,,,,,,26,Summer
